argo_id,CYCLE_NUMBER,DATE_CREATION,DATE_UPDATE,CONFIG_MISSION_NUMBER,DIRECTION,PRES,TEMP,PSAL,PH_IN_SITU_TOTAL_ADJUSTED,NITRATE_ADJUSTED,CHLA_ADJUSTED,DOXY,BBP700_ADJUSTED,DATA_MODE,LATITUDE,LONGITUDE,PROJECT_NAME,PI_NAME,DATA_CENTRE,PLATFORM_TYPE,FIRMWARE_VERSION
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',2.3,29.437,34.837,,,0.1908,188.383,0.0006882,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',4.0,29.438,34.837,,,0.1908,188.363,0.0006966,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',5.9,29.433,34.838,,,0.1908,188.393,0.0006685,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',8.0,29.436,34.838,,,0.1943,188.379,0.0007022,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',10.0,29.439,34.838,,,0.1908,188.362,0.0010532,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',12.0,29.44,34.838,,,0.1885,188.41,0.0006826,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',14.0,29.439,34.838,,,0.192,188.382,0.0006713,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',16.0,29.439,34.838,,,0.1908,188.402,0.0006685,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',18.0,29.44,34.838,,,0.1885,188.36,0.0006854,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
7902312,1.0,b'20250913152709',b'20250913152709',1.0,b'A',20.0,29.444,34.838,,,0.1908,188.39,0.0006826,b'A',0.5213,80.17830000000001,"b'GO-BGC, WHOI                                                    '","b'SUSAN WIJFFELS, DAVID NICHOLSON                                 '",b'AO',b'                                ',b'190520          '
