argo_id,CYCLE_NUMBER,DATE_CREATION,DATE_UPDATE,CONFIG_MISSION_NUMBER,DIRECTION,PRES,TEMP,PSAL,CHLA_ADJUSTED,DOXY,BBP700_ADJUSTED,DATA_MODE,LATITUDE,LONGITUDE,PROJECT_NAME,PI_NAME,DATA_CENTRE,PLATFORM_TYPE,FIRMWARE_VERSION
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.39,28.048,36.104,0.0097,163.347,0.0004903,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.39,28.048,36.104,0.0097,163.347,0.0004903,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.1,28.048,36.104,,,,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.1,28.048,36.104,,,,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.068,28.116,36.0649,0.0097,157.773,0.0004903,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',-0.068,28.116,36.0649,0.0097,157.773,0.0004903,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',0.5,29.317,35.37,,,,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',0.5,29.317,35.37,,,,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',0.532,29.317,35.3701,0.0097,157.747,0.0005189,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',0.532,29.317,35.3701,0.0097,157.747,0.0005189,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
4903783,57.0,b'20250913152451',b'20250913152451',1.0,b'A',1.5,29.312,35.373,,,,b'A',5.60837,67.3054,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.01            '
