argo_id,CYCLE_NUMBER,DATE_CREATION,DATE_UPDATE,CONFIG_MISSION_NUMBER,DIRECTION,PRES,TEMP,PSAL,DOXY,DATA_MODE,LATITUDE,LONGITUDE,PROJECT_NAME,PI_NAME,DATA_CENTRE,PLATFORM_TYPE,FIRMWARE_VERSION
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',4.1,28.696,34.3325,182.53,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',4.6,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',4.6,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',5.1,28.694,34.334,182.249,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',5.1,28.694,34.334,182.249,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',5.6,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',5.6,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',6.1,28.694,34.3335,182.221,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',6.1,28.694,34.3335,182.221,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',6.6,28.694,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',6.6,28.694,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',7.2,28.694,34.3335,182.328,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',7.2,28.694,34.3335,182.328,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',7.7,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',7.7,28.694,34.334,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',8.2,28.694,34.3335,182.242,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',8.2,28.694,34.3335,182.242,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',8.7,28.694,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',8.7,28.694,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',9.3,28.695,34.333,182.15,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',9.3,28.695,34.333,182.15,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',9.8,28.695,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',9.8,28.695,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',14.8,28.693,34.333,181.886,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',14.8,28.693,34.333,181.886,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
2902764,207.0,b'20250913152232',b'20250913152232',1.0,b'A',15.3,28.693,34.333,,b'A',4.38,84.02300000000001,b'CHINA ARGO EQUIVALENT                                           ',b'FENG ZHOU                                                       ',b'HZ',b'                                ',b'5900A05         '
