argo_id,CYCLE_NUMBER,DATE_CREATION,DATE_UPDATE,CONFIG_MISSION_NUMBER,DIRECTION,PRES,TEMP,PSAL,CHLA_ADJUSTED,DOXY,BBP700_ADJUSTED,DATA_MODE,LATITUDE,LONGITUDE,PROJECT_NAME,PI_NAME,DATA_CENTRE,PLATFORM_TYPE,FIRMWARE_VERSION
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',5.5,29.619,34.201,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',5.532,29.619,34.201,0.0076,180.367,0.000598,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',5.532,29.619,34.201,0.0076,180.367,0.000598,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',6.5,29.61,34.2,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',6.5,29.61,34.2,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',6.532,29.609,34.2001,0.0083,180.357,0.0006144,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',6.532,29.609,34.2001,0.0083,180.357,0.0006144,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',7.5,29.586,34.203,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',7.5,29.586,34.203,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',7.532,29.585,34.2029,0.0094,180.344,0.0006133,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',7.532,29.585,34.2029,0.0094,180.344,0.0006133,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',8.5,29.563,34.199,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',8.5,29.563,34.199,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',8.532,29.562,34.1988,0.0097,180.343,0.0006231,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',8.532,29.562,34.1988,0.0097,180.343,0.0006231,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',9.5,29.524,34.194,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',9.5,29.524,34.194,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',9.532,29.523,34.194,0.0076,180.347,0.0007082,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',9.532,29.523,34.194,0.0076,180.347,0.0007082,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',10.6,29.499,34.193,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',10.6,29.499,34.193,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',10.632,29.496,34.1935,0.0104,180.442,0.0006351,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',10.632,29.496,34.1935,0.0104,180.442,0.0006351,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',11.5,29.402,34.207,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',11.5,29.402,34.207,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',11.532,29.399,34.2083,0.0122,180.609,0.0006416,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',11.532,29.399,34.2083,0.0122,180.609,0.0006416,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',12.5,29.308,34.249,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',12.5,29.308,34.249,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',12.532,29.308,34.2494,0.014,180.649,0.0006405,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',12.532,29.308,34.2494,0.014,180.649,0.0006405,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',13.5,29.294,34.26,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',13.5,29.294,34.26,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',13.532,29.294,34.2601,0.0122,180.651,0.0006503,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',13.532,29.294,34.2601,0.0122,180.651,0.0006503,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',14.5,29.291,34.264,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',14.5,29.291,34.264,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',14.532,29.291,34.2641,0.014,180.619,0.0006557,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',14.532,29.291,34.2641,0.014,180.619,0.0006557,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',15.5,29.29,34.267,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',15.5,29.29,34.267,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',15.532,29.29,34.267,0.0122,180.649,0.0006677,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',15.532,29.29,34.267,0.0122,180.649,0.0006677,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',16.5,29.289,34.268,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',16.5,29.289,34.268,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',16.532,29.289,34.2683,0.0133,180.704,0.0006644,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',16.532,29.289,34.2683,0.0133,180.704,0.0006644,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',17.5,29.288,34.276,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',17.5,29.288,34.276,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',17.61,29.288,34.2768,0.0145,180.732,0.0006759,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',17.61,29.288,34.2768,0.0145,180.732,0.0006759,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',18.5,29.287,34.283,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',18.5,29.287,34.283,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',18.532,29.287,34.2832,0.0158,180.698,0.0006698,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',18.532,29.287,34.2832,0.0158,180.698,0.0006698,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',19.5,29.288,34.288,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',19.5,29.288,34.288,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',19.532,29.288,34.2886,0.0151,180.683,0.0006742,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',19.532,29.288,34.2886,0.0151,180.683,0.0006742,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',25.0,29.333,34.391,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',25.0,29.333,34.391,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',25.032,29.333,34.3918,0.0191,180.564,0.000723,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',25.032,29.333,34.3918,0.0191,180.564,0.000723,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',34.832,29.34,34.648,0.0331,180.17,0.0013037,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',34.832,29.34,34.648,0.0331,180.17,0.0013037,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',35.1,29.34,34.655,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',35.1,29.34,34.655,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',44.932,29.232,34.7265,0.049,179.875,0.0009448,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',44.932,29.232,34.7265,0.049,179.875,0.0009448,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',45.0,29.231,34.727,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',45.0,29.231,34.727,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',54.8,29.206,34.776,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',54.8,29.206,34.776,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',54.932,29.207,34.7771,0.0803,179.212,0.0008814,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',54.932,29.207,34.7771,0.0803,179.212,0.0008814,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',64.7,29.281,34.855,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',64.7,29.281,34.855,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',65.132,29.277,34.8551,0.0742,178.699,0.0008692,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',65.132,29.277,34.8551,0.0742,178.699,0.0008692,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',74.7,29.199,34.857,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',74.7,29.199,34.857,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',75.232,29.189,34.8576,0.1454,176.944,0.0008998,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',75.232,29.189,34.8576,0.1454,176.944,0.0008998,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',85.0,29.005,34.869,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',85.0,29.005,34.869,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',85.31,28.972,34.8697,0.3003,169.164,0.0009617,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',85.31,28.972,34.8697,0.3003,169.164,0.0009617,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',94.9,27.964,34.89,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',94.9,27.964,34.89,,,,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',95.332,27.9,34.8894,0.2592,151.547,0.0007853,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
7902250,24.0,b'20250913152704',b'20250913152704',1.0,b'A',95.332,27.9,34.8894,0.2592,151.547,0.0007853,b'A',-2.18908,90.28082,b'Indian Argo                                                     ',b'M Ravichandran                                                  ',b'IN',b'PROVOR                          ',b'3.04            '
